epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6425,0.65175,6.50733,0.80342,0.68194,0.29977,0.27566,0.12587,0.5102,1.62945,0.8572,0.00041358,0.00041358,0.00041358
2,153.133,0.55395,1.05577,0.68356,0.43781,0.28305,0.2009,0.09151,nan,nan,nan,0.000826137,0.000826137,0.000826137
3,223.051,0.53856,1.14108,0.66306,0.41702,0.15992,0.07006,0.0352,nan,nan,nan,0.00123457,0.00123457,0.00123457
4,296.825,0.5282,1.26671,0.63208,0.07815,0.23724,0.05318,0.02243,nan,nan,nan,0.00123144,0.00123144,0.00123144
5,367.275,0.50017,1.44637,0.55472,0.25289,0.28947,0.17505,0.08222,0.4451,1.77634,0.65527,0.00122525,0.00122525,0.00122525
6,438.694,0.48242,1.36436,0.55429,0.34389,0.3813,0.32598,0.15575,0.50433,1.38747,0.75972,0.00121906,0.00121906,0.00121906
7,509.184,0.50341,1.19422,0.57567,0.2716,0.33111,0.25399,0.12293,0.54445,1.46765,0.91912,0.00121287,0.00121287,0.00121287
8,578.679,0.44986,1.23678,0.51952,0.54554,0.38437,0.41568,0.20165,0.45927,1.2633,0.73925,0.00120669,0.00120669,0.00120669
9,652.551,0.46007,1.19276,0.53957,0.41722,0.29851,0.26528,0.12977,nan,nan,nan,0.0012005,0.0012005,0.0012005
10,726.148,0.49069,1.20926,0.55851,0.37608,0.29781,0.24558,0.12614,nan,nan,nan,0.00119431,0.00119431,0.00119431
11,799.511,0.45006,1.23678,0.51309,0.47717,0.38835,0.3246,0.15893,nan,nan,nan,0.00118812,0.00118812,0.00118812
12,870.716,0.43392,1.18649,0.50742,0.45393,0.40297,0.40251,0.19039,nan,nan,nan,0.00118194,0.00118194,0.00118194
13,942.831,0.41995,1.14992,0.50529,0.38255,0.37222,0.34524,0.17176,nan,nan,nan,0.00117575,0.00117575,0.00117575
14,1011.87,0.44296,1.08871,0.52288,0.48553,0.46437,0.47998,0.23249,nan,nan,nan,0.00116956,0.00116956,0.00116956
15,1083.41,0.45431,1.02741,0.5418,0.51827,0.4869,0.47683,0.23729,nan,nan,nan,0.00116337,0.00116337,0.00116337
16,1158.26,0.43264,1.08494,0.51329,0.45612,0.50295,0.43587,0.23086,0.46225,1.41583,0.74054,0.00115719,0.00115719,0.00115719
17,1231.33,0.43042,1.12708,0.49873,0.53233,0.39025,0.41687,0.21546,nan,nan,nan,0.001151,0.001151,0.001151
18,1305.52,0.44265,1.09682,0.53297,0.58078,0.41611,0.49052,0.24025,0.51839,1.11974,0.85217,0.00114481,0.00114481,0.00114481
19,1378.83,0.4388,1.1178,0.51219,0.60423,0.53585,0.52978,0.2675,nan,nan,nan,0.00113863,0.00113863,0.00113863
20,1453.57,0.46226,1.07676,0.53642,0.51953,0.4504,0.43999,0.20756,0.51879,1.15716,0.90657,0.00113244,0.00113244,0.00113244
21,1526.58,0.44502,1.09605,0.52798,0.43744,0.34322,0.33442,0.16001,nan,nan,nan,0.00112625,0.00112625,0.00112625
