epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1407,1.68101,2.9142,2.02729,0.25998,0.26481,0.21118,0.09807,2.1644,3.18235,3.08127,0.000410539,0.000410539,0.000410539
2,39.9525,1.65786,2.18869,1.99664,0.0657,0.32186,0.05747,0.01862,2.51102,8.50831,3.19757,0.000823111,0.000823111,0.000823111
3,55.9146,1.72002,2.21889,2.06709,0.02498,0.33054,0.01988,0.00413,3.01864,25.8525,3.89309,0.00123156,0.00123156,0.00123156
4,73.6292,1.69511,2.18622,1.99947,0.28152,0.23202,0.20775,0.04946,2.50759,2.99046,3.30309,0.00123144,0.00123144,0.00123144
5,89.403,1.64938,2.08911,1.97144,0.45446,0.25737,0.21216,0.08065,2.33038,2.61245,2.83616,0.00122525,0.00122525,0.00122525
6,106.98,1.62087,1.96866,1.92738,0.26765,0.37072,0.26331,0.10719,2.21038,2.66381,2.82163,0.00121906,0.00121906,0.00121906
7,122.791,1.60665,1.93737,1.91444,0.50817,0.52231,0.47551,0.21962,1.9772,1.92781,2.52339,0.00121287,0.00121287,0.00121287
8,140.493,1.59776,1.90191,1.91744,0.5526,0.43222,0.45879,0.2131,2.00627,2.15265,2.62735,0.00120669,0.00120669,0.00120669
9,155.895,1.56564,1.86223,1.90335,0.54409,0.47655,0.50001,0.19815,2.00857,2.09089,2.57495,0.0012005,0.0012005,0.0012005
10,173.427,1.53557,1.77225,1.87609,0.5334,0.52096,0.51477,0.22792,1.98661,1.91512,2.55782,0.00119431,0.00119431,0.00119431
11,189.111,1.57195,1.769,1.89265,0.59593,0.46833,0.51601,0.23283,2.01573,1.98542,2.50202,0.00118812,0.00118812,0.00118812
12,206.762,1.53791,1.82782,1.85477,0.56204,0.46701,0.48603,0.19717,2.06092,1.88334,2.62905,0.00118194,0.00118194,0.00118194
13,222.753,1.53454,1.72545,1.84547,0.63017,0.60002,0.61048,0.30085,1.76947,1.65248,2.41785,0.00117575,0.00117575,0.00117575
14,238.38,1.51195,1.67933,1.84246,0.66193,0.55098,0.60506,0.28492,1.88002,1.67285,2.40035,0.00116956,0.00116956,0.00116956
